Diabetes_Index,Selected_Target,IC50_Entries,Target_Type,Organism
1,CHEMBL235,2261,SINGLE PROTEIN,Homo sapiens
8,CHEMBL2096976,239,PROTEIN-PROTEIN INTERACTION,Homo sapiens
10,CHEMBL2111325,34,SELECTIVITY GROUP,Homo sapiens
0,CHEMBL1914266,19,SINGLE PROTEIN,Homo sapiens
2,CHEMBL2459,15,SINGLE PROTEIN,Mus musculus
3,CHEMBL4797,6,SINGLE PROTEIN,Rattus norvegicus
11,CHEMBL2111394,4,PROTEIN COMPLEX,Homo sapiens
4,CHEMBL1932903,0,SINGLE PROTEIN,Canis familiaris
5,CHEMBL2095161,0,PROTEIN-PROTEIN INTERACTION,Homo sapiens
6,CHEMBL2095162,0,PROTEIN-PROTEIN INTERACTION,Homo sapiens
7,CHEMBL2095163,0,PROTEIN-PROTEIN INTERACTION,Homo sapiens
9,CHEMBL2111371,0,SELECTIVITY GROUP,Homo sapiens
12,CHEMBL3559683,0,PROTEIN FAMILY,Homo sapiens
