cancer_Index,Selected_Target,IC50_Entries,Target_Type,Organism
60,CHEMBL206,5291,SINGLE PROTEIN,Homo sapiens
61,CHEMBL242,3611,SINGLE PROTEIN,Homo sapiens
47,CHEMBL5393,1771,SINGLE PROTEIN,Homo sapiens
56,CHEMBL3774295,752,SINGLE PROTEIN,Homo sapiens
50,CHEMBL2093866,603,PROTEIN FAMILY,Homo sapiens
20,CHEMBL2150837,365,SINGLE PROTEIN,Homo sapiens
34,CHEMBL4899,361,SINGLE PROTEIN,Homo sapiens
68,CHEMBL1615382,240,SINGLE PROTEIN,Homo sapiens
19,CHEMBL1795185,237,SINGLE PROTEIN,Homo sapiens
46,CHEMBL4896,171,SINGLE PROTEIN,Homo sapiens
38,CHEMBL2046267,170,SINGLE PROTEIN,Homo sapiens
31,CHEMBL612700,109,CELL-LINE,Homo sapiens
82,CHEMBL3886,107,SINGLE PROTEIN,Homo sapiens
40,CHEMBL3112376,93,SINGLE PROTEIN,Homo sapiens
95,CHEMBL2364701,87,PROTEIN COMPLEX,Homo sapiens
88,CHEMBL4296073,86,PROTEIN FAMILY,Homo sapiens
45,CHEMBL615002,57,CELL-LINE,
66,CHEMBL2724,50,SINGLE PROTEIN,Rattus norvegicus
62,CHEMBL3021,42,SINGLE PROTEIN,Rattus norvegicus
14,CHEMBL613895,38,CELL-LINE,Homo sapiens
