Tau_Index,Selected_Target,IC50_Entries,Target_Type,Organism
25,CHEMBL1907600,2447,PROTEIN COMPLEX,Homo sapiens
12,CHEMBL2366565,753,PROTEIN FAMILY,Sus scrofa
13,CHEMBL2828,703,SINGLE PROTEIN,Homo sapiens
23,CHEMBL4036,475,SINGLE PROTEIN,Homo sapiens
42,CHEMBL2096907,302,PROTEIN COMPLEX GROUP,Homo sapiens
2,CHEMBL1293224,267,SINGLE PROTEIN,Homo sapiens
5,CHEMBL1926492,114,SINGLE PROTEIN,Homo sapiens
14,CHEMBL4484,75,SINGLE PROTEIN,Rattus norvegicus
20,CHEMBL4045,61,SINGLE PROTEIN,Homo sapiens
10,CHEMBL3337327,57,SINGLE PROTEIN,Homo sapiens
32,CHEMBL2111458,55,PROTEIN FAMILY,Homo sapiens
11,CHEMBL2366450,30,SINGLE PROTEIN,Sus scrofa
18,CHEMBL3038494,23,PROTEIN COMPLEX,Homo sapiens
33,CHEMBL3038453,19,PROTEIN COMPLEX,Homo sapiens
37,CHEMBL2111345,15,PROTEIN COMPLEX,Homo sapiens
0,CHEMBL3638363,11,SINGLE PROTEIN,Bos taurus
31,CHEMBL2783,7,SINGLE PROTEIN,Homo sapiens
6,CHEMBL4295554,4,SINGLE PROTEIN,Sus scrofa
15,CHEMBL5175,4,SINGLE PROTEIN,Mus musculus
45,CHEMBL3559691,4,PROTEIN FAMILY,Homo sapiens
